"Расположение","Наименование","Производитель","Артикул","Цвет","Количество","Цена, руб.","Ссылка"
"Кабинет","письменный стол","Мебельная фабрика ""Летта""","2657","белый","1","4886","https://www.ozon.ru/product/pismennyy-stol-kompyuternyy-stol-letta-malta-115h50h75-sm-235614593/?asb=nNDiidn%252BzfQgImC%252FRN%252FzhMICtnmz44obLWjtS2hxoIM%253D&asb2=Gea1Imx0yTMh55bs6n_1X31KfYYSlPHAjKkyHJ7swag&sh=8PdmbfQo"
"Кабинет","офисное крело","Woodville","11066","белый","1","8310","https://www.ozon.ru/product/ofisnoe-kreslo-woodville-tongo-ekokozha-belyy-176763511/?advert=qfUrLo5RlTUs55eOheGuYvNGR3f_UrNxdVvC80n0fyW8CmdLZZzgQKEZeP0ERAPwrmV7Pf6FYNiP6IIRKq51S-0zNpfJIEURovUNnLmmP2yC9_uG3guexqkNDeeHiMu9F7lJpYIKQWwElLrmjaJCM8AwA-gN-aH8&hs=1&sh=39Onw0i9"
"Кабинет","настенная полка","Style","11066","белый","1","1739","https://www.ozon.ru/product/polka-style-nastennaya-pryamaya-nastennaya-pryamaya-chernaya-115h20h52-sm-1-sht-310435809/?asb=AiUX0UzohFZiqL64c0USJLioTYbd8b43z9Wtdl%252FH4lzYiXJZ2eZein3csRODadJc&asb2=VnMxQHlkHh8pq_MoN20LOQ3dE-h_kYjCt20rR97hDnJQazzfuoiYJm7_616EdIvGQclOXZxwovVAUDiQRbd71abp7YcOJIT9UacEZJjRAAg&keywords=%D0%BF%D0%BE%D0%BB%D0%BA%D0%B8+%D0%BD%D0%B0%D1%81%D1%82%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5&sh=WATrtYZI"
"Кабинет","стеллаж ","Моби","54141","белый","1","3290","https://www.ozon.ru/product/stellazh-praym-10-138-tsvet-belyy-re-shagren-52-3h31-7h109-4-sm-mobi-251367842/?asb=TAHTCKkY06cTX9m%252BcMtkPH5neEwbGGiqPMSEdFi4uxwq7cCLv%252BP4l9yn6jEiIKcO&asb2=bvgmrlXpQB8vIYVTMtNnmxi4VUJUIhn9AtW_1-xt4ZMYxWejAyiWQPjIinswylOSMa5Uc6Mw7qe_u8w9zA1GzBCKHHGNpQDhIjI5aeUJZ5E&keywords=%D1%81%D1%82%D0%B5%D0%BB%D0%BB%D0%B0%D0%B6+%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9&sh=2Uptw5Qb"
"Кабинет","диван","Фабрика ""Фантазер""","dp010105","серый","1","11777","https://www.ozon.ru/product/divan-krovat-divan-evroknizhka-tornado-mehanizm-evroknizhka-185h76h80-sm-296818757/?asb=yEEsWhrPDKKclHWytnaKEffief5Yffz4e0xpt4Xot9ymY0hYZTs7EqA6I9IZ3HC9&asb2=SrtZwcGdhgIutUOyRhGYtC0Gj8OuWxSWuGGNug2FSMXQwP323xSi3SkuFIyZirQxqAtOCn4AwkFuXw5NEYM5uKcIGxlx-qNMc1p7YYcJP10&sh=5ZGdYYsf"
"Гостиная","диван","""Ладья""","Lad356","светло-серый","1","34900","https://www.ozon.ru/product/divan-divan-krovat-fabio-mehanizm-evroknizhka-250h101h87-sm-324522227/?asb=9ZnvQVjFGr7zSTU%252FeM22vqsjKbypoWzBsIfNhQkxsVc%253D&asb2=CLSWc_xMR52i-aQYr9qmI0bU-2pFjQeIj8CxeXKmaKc&ectx=0&keywords=%D0%B4%D0%B8%D0%B2%D0%B0%D0%BD&sh=Wzb9PRXB"
"Гостиная","журнальный стол","Магазин мебели ""Мебелерио""","10043","белый","1","1899","https://www.ozon.ru/product/zhurnalnyy-stol-prima-62h51-6h50-sm-178461930/?asb=fNQUYJ86VwS3tlZPHqod1oP3DY9YdLFdQrBxwkT6R%252B0%253D&asb2=efiu4MuET6cc-E4RarCJJXdGEXl2RdageoP254V3jeK0sJhd69Y0p-ldyK3lhwVf&keywords=%D1%81%D1%82%D0%BE%D0%BB+%D0%B6%D1%83%D1%80%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9&sh=uSdGo6oc"
"Гостиная","тумба","Моби","48715","бежевый","1","4570","https://www.ozon.ru/product/tumba-pod-tv-112h34-1h44-6-sm-mobi-257851634/?asb=vDeXkfWocz7q%252FbSqPYPTevaH%252Bz0VJBb%252BzQZCGevnAho%253D&asb2=C6IMDNWrFxu5UYORKiYBb11taNgBaLWM9qySXTYPV2jl6n_ab0OWGH3Jn7LB0h8j&keywords=%D0%BC%D0%B5%D0%B1%D0%B5%D0%BB%D1%8C&sh=vhOhcVlu"
"Гостиная","стеллаж ","Мебельная фабрика ""Летта""","2611","белый","1","3150","https://www.ozon.ru/product/stellazh-modulnyy-stellazh-zett-73h25h175-7-sm-letta-202069428/?asb=sdPACT4Fk0SDbcHAbrEmY3quQ4967NoCEWQYi0TLTAk%253D&asb2=PjVSlEfRgKz8JWxfPTUF-KPVyBBDoL5SP7wHnFyVfOE&sh=VWv7EFS_"
"Гостиная","кресло-кровать","Нижегородмебель и К","ТК 188","серый","1","14628","https://www.ozon.ru/product/kreslo-krovat-nizhegorodmebel-i-k-villi-85-art-tk-188-seryy-168194748/?asb=bJhRusj3XW%252FKECmfLtTgp7xzx6sV3pI%252FcZ9PfwtuFBY%253D&asb2=7zJv-P1t5l6OyIFGuedSm_iIGj6Myzi5ubz8C1QkpPY&sh=az0c_eCl"
"Спальня","кровать","КРАФТ ПЛЮС","CF-FL-000-FLO\46","серый","1","19240","https://www.ozon.ru/product/dvuspalnaya-krovat-floen-s-orion-velutto-08-180h200-sm-cityflex-278332961/?asb=4T0mZzXhSx5HHMSSnwrxDIBJEjPLmpLHJlxrRB4wsZ4%253D&asb2=jjAhkpLbznH0AgPXny2H42hbQ9KFdDPYvZGMNbsNcqQ&sh=S5erjHbr"
"Спальня","тумба прикроватная","ГайваМебель","13367","белый","1","1980","https://www.ozon.ru/product/tumba-prikrovatnaya-gayvamebel-kompakt-2-yashchika-2-yashch-36h33h42-sm-352627818/?asb=F0Hnct9fzPfc0ozh%252FdH0pqEjH3UNTywUtmotfXdZofY%253D&asb2=juTeL_IYnqsE1j7OOCKcTq4abXblU6NiBJpv-GTR2hw&sh=apeGr5_P"
"Спальня","комод","Vivo Trade","komod_vivo_skon_720_340_720_white","белый","1","2970","https://www.ozon.ru/product/komod-skon-3-yashch-72h34x72-sm-vivo-trade-312423669/?asb=o5kDXNi%252BPEdV1KCaLgZ8c8VzQXC92JAQPCF%252Fn4hfVsA%253D&asb2=q7hllW6m7704RbH5wIeql_JOKtmYjP3FeFbXYn2xFPE&sh=a2NImpdX"
"Спальня","шкаф-купе","DIVANO.RU","3365792","белый","1","17090","https://www.ozon.ru/product/shkaf-kupe-fortuna-170h60h210-sm-divano-ru-276754937/?asb=ui8TfBydRGJemWiJqnS7gIieX93gaWpsdl8H%252BodFtv4%253D&asb2=Igf1vTOgfgL7L5J4OaSR5Bq5bZfwuKK9KwOj8JyccA3dLN3zU2Q0gOEgKfmpaNdr&sh=91drpt-c"
"Спальня","напольная вешалка","Вешалка74","v74chm2","серебристый","1","1320","https://www.ozon.ru/product/veshalka-napolnaya-reyl-veshalka74-120-sm-h-110-sm-h-40-sm-217912032/?asb=vFRxQTAVRj0UmkKETBNg5hmiadjn12miTtD7oCjYP7kEVf7NVn6nZTyJFHTVLUTm&asb2=bBNggYw7Vrc3IZnWUZITZh_yBSLlbPzJrFh4VmP-6bxmt0BRu4nfss9XzAYAuf403wagHf5O4X-NjEqyz6e7MephNqsSSb2lazg7PBj7l4E&keywords=%D0%BD%D0%B0%D0%BF%D0%BE%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%B2%D0%B5%D1%88%D0%B0%D0%BB%D0%BA%D0%B0&sh=ZR0Ezr8f"
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
